Rank,Score,Firm Name,Website,AUM ($M),Fund Types,# Funds,City,State,Country,CRD#,SEC#,Key Signals
168,53,"FIRSTWAVE CAPITAL MANAGEMENT, LLC",https://www.firstwavefund.com,114.0,Hedge(1),1,MIAMI,FL,United States,338910,802-135298,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
169,53,LATTICE CAPITAL MANAGEMENT LLC,https://www.linkedin.com/company/lattice-capital-management,115.5,Hedge(1),1,KIRKLAND,WA,United States,141860,802-134146,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
170,53,MARSHALL WACE MIDDLE EAST,HTTPS://WWW.LINKEDIN.COM,15471.7,Hedge(4),4,ABU DHABI,,United Arab Emirates,334846,802-132066,hedge_fund_pure_equity_signal; aum_5b+; moderate_fund_count; clean_regulatory
171,53,ACCIAL CAPITAL MANAGEMENT LLC,https://accialcapital.com/,84.1,"Hedge(1), Other(1)",2,MIAMI,FL,United States,305587,802-127295,hedge_fund_pure_equity_signal; other_fund_type; concentrated_few_funds; name_strategy:capital management; us_based
172,53,PROSPERITY ADVISORS LLC,http://www.hpf-llc.com,122.0,Hedge(1),1,NEW YORK,NY,United States,331280,802-130404,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:advisors; us_based
173,53,VERADACE CAPITAL MANAGEMENT,https://www.veradacecapital.com,113.2,Hedge(1),1,DALLAS,TX,United States,301703,802-115314,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
174,53,"ATREVIDA PARTNERS, LLC",HTTP://WWW.ATREVIDAPARTNERS.COM,205.8,Hedge(3),3,RYE,NY,United States,168807,802-78885,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:partners; us_based
175,53,"MISSION TRAIL CAPITAL MANAGEMENT, LLC",https://missiontrailcapital.com/,115.4,Hedge(1),1,AUSTIN,TX,United States,318558,802-132530,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
176,53,"ANCHOR CAPITAL MANAGEMENT COMPANY, LLC",https://anchorcap.us/,122.5,Hedge(1),1,RALEIGH,NC,United States,288368,802-120596,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
177,53,"ROBERTS CAPITAL ADVISORS, LLC",HTTP://ROBERTSCAPITAL.COM,122.1,Hedge(1),1,DENVER,CO,United States,226548,802-119119,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:advisors; us_based
178,53,SERAYA INVESTMENT PTE. LTD.,https://www.serayainvestment.com/,213.7,"Hedge(1), Other(1)",2,SINGAPORE,,Singapore,321098,802-127148,hedge_fund_pure_equity_signal; other_fund_type; aum_100m+; concentrated_few_funds; clean_regulatory
179,53,GREENLAND INVESTMENT MANAGEMENT,https://greenlandim.com/,1240.1,Hedge(6),6,TRIANON,,Mauritius,301255,802-117319,hedge_fund_pure_equity_signal; aum_1b+; moderate_fund_count; name_strategy:investment management; clean_regulatory
180,53,EXPECT EQUITY LLC,HTTPS://EXPECTEQUITY.COM,106.8,Hedge(1),1,PIKESVILLE,MD,United States,324496,802-129276,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:equity; us_based
181,53,TOR INVESTMENT MANAGEMENT (HONG KONG) LIMITED,https://www.torinvestment.com,1939.9,"Hedge(2), Other(5)",7,HONG KONG,,Hong Kong,168762,802-79032,hedge_fund_pure_equity_signal; other_fund_type; aum_1b+; name_strategy:investment management; clean_regulatory
182,53,"ARROW CAPITAL MANAGEMENT, LLC",HTTP://ARROWCAPMGMT.COM,148.3,Hedge(2),2,NEW YORK,NY,United States,165190,802-127300,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
183,53,"EMPIRICAL CAPITAL MANAGEMENT, LLC",HTTP://WWW.EMPIRICALCAPITAL.COM,143.6,Hedge(2),2,HENDERSONVILLE,TN,United States,160509,802-74687,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
184,53,"ROSENTHAL | HENRY CAPITAL ADVISORS, INC.",HTTP://WWW.ROSENTHALPARTNERS.NET,118.2,Hedge(3),3,MISHAWAKA,IN,United States,158537,802-110063,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:advisors; us_based
185,53,ETHOS INVESTMENT MANAGEMENT LP,https://ethosinvest.com/,69.5,"Hedge(1), Other(1)",2,OREM,UT,United States,318861,802-123477,hedge_fund_pure_equity_signal; other_fund_type; concentrated_few_funds; name_strategy:investment management; us_based
186,53,PIER ASSET MANAGEMENT LLC,HTTPS://WWW.LINKEDIN.COM/COMPANY/PIERASSETMANAGEMENT/,142.2,Hedge(2),2,MANHATTAN BEACH,CA,United States,288446,802-126029,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:asset management; us_based
187,53,"STONEPINE CAPITAL MANAGEMENT, LLC",HTTP://WWW.STONEPINECAP.COM,132.6,Hedge(1),1,BEND,OR,United States,139891,802-132464,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
188,53,BONSAI PARTNERS,HTTPS://BONSAIPARTNERS.COM/,139.5,Hedge(1),1,CARLSBAD,CA,United States,297619,802-127353,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:partners; us_based
189,53,TURTLE CREEK ASSET MANAGEMENT INC.,HTTP://WWW.TURTLECREEK.CA/,4245.8,Hedge(4),4,TORONTO,,Canada,271033,802-106654,hedge_fund_pure_equity_signal; aum_1b+; moderate_fund_count; name_strategy:asset management; clean_regulatory
190,53,ANSON ADVISORS INC.,https://www.linkedin.com/company/anson-group-of-funds,2854.5,Hedge(6),6,TORONTO,,Canada,167637,802-78163,hedge_fund_pure_equity_signal; aum_1b+; moderate_fund_count; name_strategy:advisors; clean_regulatory
191,52,BRUMMER & PARTNERS ASSET MANAGEMENT (UK) LTD,https://www.brummer.se/,507.6,Hedge(4),4,LONDON,,United Kingdom,338906,802-135028,hedge_fund_pure_equity_signal; aum_500m+; moderate_fund_count; name_strategy:asset management; name_strategy:partners
192,51,ARTEMIS ADVISORY PARTNERS LTD,https://artemis.ky/,100.0,Hedge(1),1,GRAND CAYMAN,,Cayman Islands,332556,802-131282,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:partners; clean_regulatory
